id,asset_type_id,indicator_from,asset_name,model,asset_id,en_name,zh_name,belong_to,chart_type,qc_code,is_qc,qc_chart_type,is_gapfill,qc_lower_limit,qc_upper_limit,description,machine_unit,unit,formula,is_key,is_diagnosis,is_physical,is_default,lower_threshold,upper_threshold,warning_level,is_visible,lower_limit,upper_limit,is_core,level1,level2,level3,level4,level5,level6,code,deleted_at,updated_at,created_at,created_by,updated_by,show_lower_limit,show_upper_limit
16,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,Tau,动量通量,flux,line,tau,1,line,1,-5,5,动量通量,"",[kg+1m-1s-2],,1,1,0,,0.0,10.0,2,1,0.0,10.0,0,"","","","","","",tau,,2024-03-19 20:49:34,,"","",-5,5
19,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,H,显热通量,flux,bar,h,1,bar,1,-800,800,量化近地表大气增温所用能量,"",[W+1m-2],,1,1,0,,-200.0,600.0,3,1,-200.0,600.0,1,"","","","","","",h,,2024-03-19 20:49:34,,"","",-800,800
22,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,LE,潜热通量,flux,bar,le,1,bar,1,-500,1000,量化驱动蒸散发所用能量,"",[W+1m-2],,2,1,0,,-300.0,1000.0,3,1,-300.0,1000.0,1,"","","","","","",le,,2024-03-19 20:49:34,,"","",-500,1000
25,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_flux,CO2通量,flux,bar,co2_flux,1,bar,1,-50,50,下垫面与大气间CO2交换量,"",[μmol+1s-1m-2],,1,1,0,,-50.0,50.0,3,1,-50.0,50.0,1,"","","","","","",co2_flux,,2024-03-19 20:49:34,,"","",-50,50
28,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_flux,H2O通量,flux,bar,h2o_flux,1,bar,1,-10,25,蒸散发,"",[mmol+1s-1m-2],,1,1,0,,-10.0,25.0,3,1,-10.0,25.0,1,"","","","","","",h2o_flux,,2024-03-19 20:49:34,,"","",-10,25
31,1,Licor,开路式甲烷分析仪,LI-7700,36,ch4_flux,甲烷通量,flux,bar,ch4_flux,1,bar,1,-50,50,甲烷通量,"",[μmol+1s-1m-2],,1,1,0,,-50.0,50.0,3,1,-50.0,50.0,1,"","","","","","",ch4_flux,,2024-03-19 20:49:34,,"","",-50,50
34,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,H_strg,显热通量储存项,flux,bar,h_strg,1,bar,0,-30,30,显热通量储存项估算值（单层法）,"",[W+1m-2],,1,0,0,,NA,NA,0,1,-30.0,30.0,0,"","","","","","",h_strg,,2024-03-19 20:49:34,,"","",-30,30
35,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,LE_strg,潜热通量储存项,flux,bar,le_strg,1,bar,0,-30,30,潜热通量储存项估算值（单层法）,"",[W+1m-2],,1,0,0,,NA,NA,0,1,-30.0,30.0,0,"","","","","","",le_strg,,2024-03-19 20:49:34,,"","",-30,30
36,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_strg,CO2通量储存项,flux,bar,co2_strg,1,bar,0,-5,5,CO2通量储存项估算值（单层法）,"",[μmol+1s-1m-2],,1,0,0,,NA,NA,0,1,-5.0,5.0,0,"","","","","","",co2_strg,,2024-03-19 20:49:34,,"","",-5,5
37,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_strg,H2O通量储存项,flux,bar,h2o_strg,1,bar,0,-0.5,0.5,H2O通量储存项估算值（单层法）,"",[mmol+1s-1m-2],,1,0,0,,NA,NA,0,1,-0.5,0.5,0,"","","","","","",h2o_strg,,2024-03-19 20:49:34,,"","",-0.5,0.5
38,1,Licor,开路式甲烷分析仪,LI-7700,36,ch4_strg,甲烷通量储存项,flux,bar,ch4_strg,1,bar,0,-5,5,甲烷通量储存项估算值（单层法）,"",[μmol+1s-1m-2],,1,0,0,,NA,NA,0,1,-5.0,5.0,0,"","","","","","",ch4_strg,,2024-03-19 20:49:34,,"","",-5,5
42,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_molar_density,CO2气体摩尔密度,flux,line,co2_molar_density,1,line,0,10,40,CO2气体摩尔密度,"",[mmol+1m-3],,1,0,0,,NA,NA,0,1,5.0,25.0,1,"","","","","","",co2_molar_density,,2024-03-19 20:49:34,,"","",10,40
43,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_mole_fraction,CO2气体摩尔比,flux,line,co2_mole_fraction,1,line,0,300,1000,CO2气体摩尔比,"",[μmol+1mol_a-1],,1,1,0,,200.0,600.0,1,1,200.0,600.0,1,"","","","","","",co2_mole_fraction,,2024-03-19 20:49:34,,"","",300,1000
44,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_mixing_ratio,CO2气体混合比,flux,line,co2_mixing_ratio,1,line,0,300,1000,CO2气体混合比,"",[μmol+1mol_d-1],,1,1,0,,200.0,600.0,1,1,200.0,600.0,1,"","","","","","",co2_mixing_ratio,,2024-03-19 20:49:34,,"","",300,1000
47,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_molar_density,H2O气体摩尔密度,flux,line,h2o_molar_density,1,line,0,0,2000,H2O气体摩尔密度,"",[mmol+1m-3],,1,0,0,,NA,NA,0,1,0.0,2000.0,1,"","","","","","",h2o_molar_density,,2024-03-19 20:49:34,,"","",0,2000
48,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_mole_fraction,H2O气体摩尔比,flux,line,h2o_mole_fraction,1,line,0,0,50,H2O气体摩尔比,"",[mmol+1mol_a-1],,1,1,0,,0.0,70.0,3,1,0.0,70.0,1,"","","","","","",h2o_mole_fraction,,2024-03-19 20:49:34,,"","",0,50
49,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_mixing_ratio,H2O气体混合比,flux,line,h2o_mixing_ratio,1,line,0,0,50,H2O气体混合比,"",[mmol+1mol_d-1],,1,1,0,,0.0,70.0,3,1,0.0,70.0,1,"","","","","","",h2o_mixing_ratio,,2024-03-19 20:49:34,,"","",0,50
52,1,Licor,开路式甲烷分析仪,LI-7700,36,ch4_molar_density,CH4气体摩尔密度,flux,line,ch4_molar_density,1,line,0,0,200,CH4气体摩尔密度,"",[mmol+1m-3],,1,0,0,,NA,NA,0,1,0.0,200.0,1,"","","","","","",ch4_molar_density,,2024-03-19 20:49:34,,"","",0,200
53,1,Licor,rn_1_1_1,LI-7700,36,ch4_mole_fraction,CH4气体摩尔比,flux,line,ch4_mole_fraction,1,line,0,0,100,CH4气体摩尔比,"",[μmol+1mol_a-1],,1,1,0,,0.0,100.0,1,1,0.0,100.0,1,"","","","","","",ch4_mole_fraction,,2024-03-19 21:15:17,,"","",0,100
54,1,Licor,开路式甲烷分析仪,LI-7700,36,ch4_mixing_ratio,CH4气体混合比,flux,line,ch4_mixing_ratio,1,line,0,0,100,CH4气体混合比,"",[μmol+1mol_d-1],,1,1,0,,0.0,100.0,1,1,0.0,100.0,1,"","","","","","",ch4_mixing_ratio,,2024-03-19 20:49:34,,"","",0,100
57,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,sonic_temperature,超声温度,flux,line,sonic_temperature,1,line,1,-30,50,利用声速计算的温度,[K],[℃],,1,1,0,,-50.15,49.85,3,1,-50.15,49.85,0,"","","","","","",sonic_temperature,,2024-03-19 20:49:35,,"","",-30,50
58,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,air_temperature,空气温度,flux,line,air_temperature,1,line,1,-30,50,由超声温度转化得出的气温估计值,[K],[℃],,1,1,0,,-50.15,49.85,3,1,-50.15,49.85,1,"","","","","","",air_temperature,,2024-03-19 20:49:35,,"","",-30,50
59,1,Licor,数据在线计算模块,Smartflux3,23,air_pressure,气压,flux,line,air_pressure,1,line,1,80000,110000,大气压强,"",[Pa],,1,0,0,,NA,NA,0,1,80000.0,150000.0,1,"","","","","","",air_pressure,,2024-03-19 20:49:35,,"","",80000,110000
60,1,Licor,数据在线计算模块,Smartflux3,23,air_density,空气密度,flux,line,air_density,1,line,1,0.9,1.5,空气密度,"",[kg+1m-3],,1,0,0,,NA,NA,0,1,0.8,1.3,0,"","","","","","",air_density,,2024-03-19 20:49:35,,"","",0.9,1.5
61,1,Licor,数据在线计算模块,Smartflux3,23,air_heat_capacity,空气热容,flux,line,air_heat_capacity,1,line,1,1000,1050,空气热容,"",[J+1kg-1K-1],,1,0,0,,NA,NA,0,1,800.0,1200.0,0,"","","","","","",air_heat_capacity,,2024-03-19 20:49:35,,"","",1000,1050
62,1,Licor,数据在线计算模块,Smartflux3,23,air_molar_volume,空气摩尔体积,flux,line,air_molar_volume,1,line,1,0.015,0.03,空气摩尔体积,"",[m+3mol-1],,1,0,0,,NA,NA,0,1,0.02,0.035,0,"","","","","","",air_molar_volume,,2024-03-19 20:49:35,,"","",0.015,0.03
63,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,ET,蒸散发,flux,bar,et,1,bar,1,-1,2,生态系统蒸散发,"",[mm+1hour-1],,1,0,0,,NA,NA,0,1,-1.0,5.0,0,"","","","","","",et,,2024-03-19 20:49:35,,"","",-1,2
64,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,water_vapor_density,水汽密度,flux,line,water_vapor_density,1,line,1,0,0.04,水汽密度,"",[kg+1m-3],,1,0,0,,NA,NA,0,1,0.0,0.04,0,"","","","","","",water_vapor_density,,2024-03-19 20:49:35,,"","",0,0.04
65,1,Licor,数据在线计算模块,Smartflux3,23,e,水汽分压,flux,line,e,1,line,1,0,5000,水汽分压,"",[Pa],,1,0,0,,NA,NA,0,1,0.0,5000.0,0,"","","","","","",e,,2024-03-19 20:49:35,,"","",0,5000
66,1,Licor,数据在线计算模块,Smartflux3,23,es,饱和水汽分压,flux,line,es,1,line,1,0,6000,饱和水汽分压,"",[Pa],,1,0,0,,NA,NA,0,1,0.0,6000.0,0,"","","","","","",es,,2024-03-19 20:49:35,,"","",0,6000
67,1,Licor,数据在线计算模块,Smartflux3,23,specific_humidity,比湿,flux,line,specific_humidity,1,line,1,0,0.03,比湿,"",[kg+1kg-1],,1,0,0,,NA,NA,0,1,0.0,0.04,0,"","","","","","",specific_humidity,,2024-03-19 20:49:35,,"","",0,0.03
68,1,Licor,数据在线计算模块,Smartflux3,23,RH,相对湿度,flux,line,rh,1,line,1,0,100,相对湿度,"",[%],,1,1,0,,0.0,100.0,2,1,0.0,100.0,1,"","","","","","",rh,,2024-03-19 20:49:35,,"","",0,100
69,1,Licor,数据在线计算模块,Smartflux3,23,VPD,饱和水汽压差,flux,line,vpd,1,line,1,0,6000,饱和水汽分压-水汽分压,"",[Pa],,1,0,0,,NA,NA,0,1,0.0,4000.0,1,"","","","","","",vpd,,2024-03-19 20:49:35,,"","",0,6000
70,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,Tdew,露点温度,flux,line,tdew,1,line,1,-100,50,水汽凝结的临界温度,[K],[℃],,1,0,0,,NA,NA,0,1,-50.15,49.85,0,"","","","","","",tdew,,2024-03-19 20:49:35,,"","",-100,50
71,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,u_unrot,未旋转主风向风速,flux,NA,u_unrot,1,line,0,-10,10,未进行坐标旋转主风向风速,"",[m+1s-1],,1,0,0,,NA,NA,0,0,NA,NA,0,"","","","","","",u_unrot,,2024-03-19 20:49:35,,"","",-10,10
72,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,v_unrot,未旋转侧风向风速,flux,NA,v_unrot,1,line,0,-10,10,未进行坐标旋转侧风向风速,"",[m+1s-1],,1,0,0,,NA,NA,0,0,NA,NA,0,"","","","","","",v_unrot,,2024-03-19 20:49:35,,"","",-10,10
73,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,w_unrot,未旋转垂直风速,flux,NA,w_unrot,1,line,0,-2.5,2.5,未进行坐标旋转垂直风速,"",[m+1s-1],,1,0,0,,NA,NA,0,0,NA,NA,0,"","","","","","",w_unrot,,2024-03-19 20:49:35,,"","",-2.5,2.5
77,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,wind_speed,平均风速,flux,line,wind_speed,1,line,1,0,12,半小时平均风速,"",[m+1s-1],,1,1,0,,NA,NA,0,1,0.0,12.0,1,"","","","","","",wind_speed,,2024-03-19 20:49:35,,"","",0,12
78,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,max_wind_speed,最大瞬时风速,flux,line,max_wind_speed,1,line,0,0,30,半小时最大瞬时风速,"",[m+1s-1],,1,0,0,,NA,NA,0,1,0.0,15.0,0,"","","","","","",max_wind_speed,,2024-03-19 20:49:35,,"","",0,30
79,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,wind_dir,风向,flux,rose,wind_dir,1,line,0,0,360,平均风向,"",[deg_from_north],,1,0,0,,NA,NA,0,1,0.0,360.0,1,"","","","","","",wind_dir,,2024-03-19 20:49:35,,"","",0,360
83,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,u*,摩擦速率,flux,line,u_,1,line,0,0,3,大气与生态系统物质能量交换的程度，越大越充分,"",[m+1s-1],,1,0,0,,NA,NA,0,1,0.0,5.0,0,"","","","","","",u_,,2024-03-19 20:49:35,,"","",0,3
90,1,Licor,数据在线计算模块,Smartflux3,23,x_peak,通量贡献的峰值的上风向距离,flux,line,x_peak,1,line,0,0,10000,通量贡献最大的上风向位置与涡度系统的直线距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_peak,,2024-03-19 20:49:35,,"","",0,10000
91,1,Licor,数据在线计算模块,Smartflux3,23,x_offset,累积通量贡献<1%的上风向距离,flux,line,x_offset,1,line,0,0,10000,累积通量贡献<1%的上风向距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_offset,,2024-03-19 20:49:35,,"","",0,10000
92,1,Licor,数据在线计算模块,Smartflux3,23,x_10%,10%累积通量贡献的上风向距离,flux,line,x_10_,1,line,0,0,10000,10%累积通量贡献的上风向距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_10_,,2024-03-19 20:49:35,,"","",0,10000
93,1,Licor,数据在线计算模块,Smartflux3,23,x_30%,30%累积通量贡献的上风向距离,flux,line,x_30_,1,line,0,0,10000,30%累积通量贡献的上风向距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_30_,,2024-03-19 20:49:36,,"","",0,10000
94,1,Licor,数据在线计算模块,Smartflux3,23,x_50%,50%累积通量贡献的上风向距离,flux,line,x_50_,1,line,0,0,10000,50%累积通量贡献的上风向距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_50_,,2024-03-19 20:49:36,,"","",0,10000
95,1,Licor,数据在线计算模块,Smartflux3,23,x_70%,70%累积通量贡献的上风向距离,flux,line,x_70_,1,line,0,0,10000,70%累积通量贡献的上风向距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_70_,,2024-03-19 20:49:36,,"","",0,10000
96,1,Licor,数据在线计算模块,Smartflux3,23,x_90%,90%累积通量贡献的上风向距离,flux,line,x_90_,1,line,0,0,10000,90%累积通量贡献的上风向距离,"",[m],,1,0,0,,NA,NA,0,1,0.0,2000.0,0,"","","","","","",x_90_,,2024-03-19 20:49:36,,"","",0,10000
139,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_mean,CO2气体摩尔比均值,flux,line,co2_mean,1,line,0,300,1000,CO2气体摩尔比均值,"",[μmol+1mol_a-1],,1,0,0,,NA,NA,0,1,200.0,600.0,0,"","","","","","",co2_mean,,2024-03-19 20:49:37,,"","",300,1000
140,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,h2o_mean,H2O气体摩尔比均值,flux,line,h2o_mean,1,line,0,0,50,H2O气体摩尔比均值,"",[mmol+1mol_a-1],,1,0,0,,NA,NA,0,1,0.0,70.0,0,"","","","","","",h2o_mean,,2024-03-19 20:49:37,,"","",0,50
141,1,Licor,Gill WindMaster专业级三维超声风速仪,GILL-WMP,,dew_point_mean,平均露点温度,flux,line,dew_point_mean,1,line,1,-100,50,水汽凝结的平均临界温度,"",[C],,1,0,0,,NA,NA,0,1,-50,50,0,"","","","","","",dew_point_mean,,2024-03-19 20:49:37,,"","",-100,50
142,1,Licor,开路式二氧化碳和水气体分析仪,LI-7500DS,,co2_signal_strength_7500_mean,CO2信号值,flux,line,co2_signal_strength_7500_mean,1,line,0,0,150,CO2/水汽分析仪光路洁净程度，越低越脏,"",NA,,1,1,0,,70.0,105.0,2,1,0.0,105.0,1,"","","","","","",co2_signal_strength_7500_mean,,2024-03-19 20:49:37,,"","",0,150
143,1,Licor,四分量净辐射传感器,7900-144-10,,ALB_1_1_1,反照率,flux,line,alb_1_1_1,1,line,0,0,100,短波辐射反照率,"",[%],,1,1,0,,0.0,100.0,2,1,0.0,100.0,1,"","","","","","",alb_1_1_1,,2024-03-19 20:49:37,,"","",0,100
144,1,Licor,四分量净辐射传感器,7900-144-10,,LWIN_1_1_1,入射长波辐射,flux,line,lwin_1_1_1,1,line,1,0,700,方向向下的长波辐射,"",[W/m^2],,1,1,0,,0.0,700.0,2,1,0.0,700.0,1,"","","","","","",lwin_1_1_1,,2024-03-19 20:49:37,,"","",0,700
145,1,Licor,四分量净辐射传感器,7900-144-10,,LWOUT_1_1_1,反射长波辐射,flux,line,lwout_1_1_1,1,line,1,0,700,方向向上的长波辐射,"",[W/m^2],,1,1,0,,0.0,700.0,2,1,0.0,700.0,1,"","","","","","",lwout_1_1_1,,2024-03-19 20:49:37,,"","",0,700
146,1,Licor,光合有效辐射传感器,7900-200-5,,PPFD_1_1_1,入射光合有效辐射,flux,line,ppfd_1_1_1,1,line,1,-5,2500,植物吸收利用的辐射波段,"",[μmol/m^2/s],,1,1,0,,-10.0,3000.0,2,1,-5.0,3000.0,1,"","","","","","",ppfd_1_1_1,,2024-03-19 20:49:37,,"","",-5,2500
147,1,Licor,数据采集器,LI-7510,,PTemp_1_1_1,数采温度,flux,line,ptemp_1_1_1,1,line,0,-30,50,数据采集器表面温度,"",[℃],,1,0,0,,NA,NA,0,1,-50.0,50.0,0,"","","","","","",ptemp_1_1_1,,2024-03-19 20:49:37,,"","",-30,50
148,1,Licor,降雨量传感器,7900-160-15,,P_RAIN_1_1_1,下层降水量,flux,bar,p_rain_1_1_1,1,bar,1,0,0.1,通量塔下层降水量,"",[m],,1,1,0,,NA,NA,0,1,0.0,0.2,1,"","","","","","",p_rain_1_1_1,,2024-03-19 20:49:37,,"","",0,0.1
149,1,Licor,降雨量传感器,7900-160-15,,P_RAIN_1_2_1,上层降水量,flux,bar,p_rain_1_2_1,1,bar,1,0,0.1,通量塔上层降水量,"",[m],,1,0,0,,NA,NA,0,1,0.0,0.2,1,"","","","","","",p_rain_1_2_1,,2024-03-19 20:49:37,,"","",0,0.1
150,1,Licor,空气温湿度传感器,7900-130-5,,RH_1_1_1,下层空气相对湿度,flux,line,rh_1_1_1,1,line,1,0,100,通量塔下层空气相对湿度,"",[%],,2,1,0,,0.0,100.0,2,1,0.0,100.0,1,"","","","","","",rh_1_1_1,,2024-03-19 20:49:37,,"","",0,100
151,1,Licor,空气温湿度传感器,7900-130-5,,RH_1_2_1,上层空气相对湿度,flux,line,rh_1_2_1,1,line,1,0,100,通量塔上层空气相对湿度,"",[%],,2,1,0,,0.0,100.0,2,1,0.0,100.0,1,"","","","","","",rh_1_2_1,,2024-03-19 20:49:37,,"","",0,100
152,1,Licor,四分量净辐射传感器,7900-144-10,,RN_1_1_1,净辐射,flux,bar,rn_1_1_1,1,bar,0,-300,1200,地表净吸收辐射能,"",[W/m^2],,1,1,0,,-200.0,1200.0,2,1,-200.0,1200.0,1,"","","","","","",rn_1_1_1,,2024-03-19 20:49:37,,"","",-300,1200
153,1,Licor,四分量净辐射传感器,7900-144-10,,RG_1_1_2,总辐射,flux,bar,rg_1_1_2,1,line,0,-5,1250,太阳总辐射,"",[W/m^2],,1,1,0,,-10.0,1200.0,2,1,-10.0,1200.0,1,"","","","","","",rg_1_1_2,,2024-03-19 20:49:37,,"","",-5,1250
154,1,Licor,四分量净辐射传感器,7900-144-10,,Rlnet_1_1_1,长波净辐射,flux,bar,rlnet_1_1_1,1,line,1,-200,100,长波净辐射,"",[W/M^2],,1,1,0,,-300.0,20.0,2,1,-300.0,20.0,1,"","","","","","",rlnet_1_1_1,,2024-03-19 20:49:37,,"","",-200,100
155,1,Licor,四分量净辐射传感器,7900-144-10,,Rsnet_1_1_1,短波净辐射,flux,bar,rsnet_1_1_1,1,line,1,-50,1200,短波净辐射,"",[W/M^2],,1,1,0,,-50.0,1200.0,2,1,-50.0,1200.0,1,"","","","","","",rsnet_1_1_1,,2024-03-19 20:49:37,,"","",-50,1200
156,1,Licor,紫外辐射传感器,SU-205,,R_uva_1_1_1,紫外辐射,flux,line,r_uva_1_1_1,1,line,1,-5,100,紫外辐射,"",[W/m^2],,2,1,0,,NA,NA,0,1,-5,100,1,"","","","","","",r_uva_1_1_1,,2024-03-19 20:49:37,,"","",-5,100
157,1,Licor,土壤水分和温度传感器,7900-170,,SWC_1_1_1,土壤含水量1,flux,line,swc_1_1_1,1,line,1,0,1,土壤含水量第1个重复 (20 cm深度),"",[m^3/m^3],,1,1,0,,0.0,0.85,2,1,0.0,0.85,1,"","","","","","",swc_1_1_1,,2024-03-19 20:49:38,,"","",0,1
158,1,Licor,土壤水分和温度传感器,7900-170,,SWC_1_2_1,土壤含水量2,flux,line,swc_1_2_1,1,line,0,0,1,土壤含水量第2个重复 (20 cm深度),"",[m^3/m^3],,1,1,0,,0.0,0.85,2,1,0.0,0.85,1,"","","","","","",swc_1_2_1,,2024-03-19 20:49:38,,"","",0,1
159,1,Licor,土壤水分和温度传感器,7900-170,,SWC_1_3_1,土壤含水量3,flux,line,swc_1_3_1,1,line,0,0,1,土壤含水量第3个重复 (20 cm深度),"",[m^3/m^3],,1,1,0,,0.0,0.85,2,1,0.0,0.85,1,"","","","","","",swc_1_3_1,,2024-03-19 20:49:38,,"","",0,1
